 The system contains         2916  particles.
 Step; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
           1 ;   361.68166111753902      ;  -24317.771981083479      ;  -23956.090319965941      ;   9.8820815701728151      ;   1.2602359948921087E-030 ;  0.11694397623996182      ;   1.1791842982718514E-002
           2 ;   361.63476521978663      ;  -24317.725084320984      ;  -23956.090319101197      ;   9.8808002525481839      ;   2.7528865166578962E-031 ;  0.11693309003704676      ;   1.1919974745181583E-002
           3 ;   361.55580566487959      ;  -24317.645611531356      ;  -23956.089805866475      ;   9.8786428726027236      ;   4.9949220969764857E-030 ;  0.11691183345070329      ;   1.2135712739727689E-002
           4 ;   361.44480192588867      ;  -24317.534478159556      ;  -23956.089676233667      ;   9.8756099623912608      ;   1.7271234646983192E-030 ;  0.11688021280842736      ;   1.2439003760873923E-002
           5 ;   361.30177991215248      ;  -24317.391326127236      ;  -23956.089546215084      ;   9.8717022298241623      ;   6.9488696657424481E-031 ;  0.11683823617837893      ;   1.2829777017583810E-002
           6 ;   361.12677196487573      ;  -24317.216187775837      ;  -23956.089415810962      ;   9.8669205585470667      ;   2.2438815934168622E-031 ;  0.11678591404059310      ;   1.3307944145293349E-002
           7 ;   360.91981685216541      ;  -24317.008973877862      ;  -23956.089157025697      ;   9.8612660078052663      ;   2.3696238158456259E-031 ;  0.11672325862798678      ;   1.3873399219473392E-002
           8 ;   360.68095976357955      ;  -24316.769473631583      ;  -23956.088513868002      ;   9.8547398122947563      ;   5.2943829031775669E-031 ;  0.11665028444568983      ;   1.4526018770524396E-002
           9 ;   360.41025230403028      ;  -24316.498762609215      ;  -23956.088510305184      ;   9.8473433819956515      ;   3.5887909686967570E-031 ;  0.11656700824502855      ;   1.5265661800434871E-002
          10 ;   360.10775248729817      ;  -24316.196258845594      ;  -23956.088506358294      ;   9.8390783019949897      ;   2.4170734938009673E-031 ;  0.11647344852944173      ;   1.6092169800500988E-002
          11 ;   359.77352472901083      ;  -24315.861642768934      ;  -23956.088118039923      ;   9.8299463322948775      ;   2.4711175499416621E-031 ;  0.11636962597089344      ;   1.7005366770512231E-002
          12 ;   359.40763983890605      ;  -24315.495881160859      ;  -23956.088241321955      ;   9.8199494076011096      ;   6.0037433224473052E-031 ;  0.11625556338882076      ;   1.8005059239889043E-002
          13 ;   359.01017501264351      ;  -24315.098027249911      ;  -23956.087852237266      ;   9.8090896370994347      ;   3.6807177977021045E-031 ;  0.11613128546285248      ;   1.9091036290056485E-002
          14 ;   358.58121382301039      ;  -24314.668420601432      ;  -23956.087206778422      ;   9.7973693042152750      ;   5.8388700805063345E-032 ;  0.11599681935133468      ;   2.0263069578472459E-002
          15 ;   358.12084621055084      ;  -24314.207791135868      ;  -23956.086944925319      ;   9.7847908663577012      ;   3.3377567991271532E-032 ;  0.11585219377589252      ;   2.1520913364229899E-002
          16 ;   357.62916847349254      ;  -24313.716235152086      ;  -23956.087066678592      ;   9.7713569546441938      ;   8.7575085941775639E-031 ;  0.11569743983373959      ;   2.2864304535580637E-002
